Query, Refcode,LAB1  ,LAB2  ,DIST1 
1,AFAMOM,N1,O1,3.489
1,AFENEH,N1,O4,3.288
1,AFENEH,N4,O2,3.398
1,AFENEH,N1,O5,3.561
1,AFENEH,N4,O3,3.325
1,AFEQEK,N3,O2,3.083
1,AFEQEK,N2,O4,2.963
1,AFEQEK,N2,O6,2.897
1,AFEQEK,N4,O2,3.863
1,AFEQEK,N4,O3,3.583
1,AFOVUP,N2,O1,3.605
1,AFOVUP,N2,O2,3.952
1,AFULIZ,N3,O6,3.284
1,AFULIZ,N4,O5,3.538
1,AFULOF,N6,O2,3.846
1,AFULOF,N3,O12,3.487
1,AFULOF,N6,O3,3.314
1,AFULOF,N4,O13,2.965
1,AFULOF,N7,O4,2.959
1,AFULOF,N4,O14,3.683
1,AFULOF,N7,O5,3.773
1,AFULOF,N5,O16,3.109
1,AFULOF,N8,O7,3.110
1,AFUTON,N4,O1,3.252
1,AFUTON,N4,O2,3.784
1,AFUXUX,N10,O7,3.329
1,AFUXUX,N15,O12,3.895
1,AFUXUX,N20,O2,3.632
1,AFUXUX,N5,O18,3.808
1,AFUXUX,N10,O19,3.906
1,AFUXUX,N15,O4,3.606
1,AFUXUX,N20,O9,3.609
1,AFUXUX,N5,O14,3.055
1,AFUXUX,N10,O20,3.184
1,AFUXUX,N15,O5,3.319
1,AFUXUX,N20,O10,3.508
1,AFUXUX,N5,O15,3.494
1,AGEDAU,N2,O7,3.964
1,AGEDAU,N3,O7,3.536
1,AGIDOM,N4,O2F,3.743
1,AGIDUS,N5,O3,3.060
1,AGIDUS,N5,O4,3.541
1,AGIXOG,N2,O8,2.996
1,AGIXOG,N2,O1,3.829
1,AGIXUM,N2,O4,3.592
1,AGOCIL,N1,O5,3.346
1,AGOCIL,N1,O3,3.586
1,AGOCIL,N2,O7,3.227
1,AGOCIL,N1,O4,3.097
1,AGOCIL,N2,O8,3.284
1,AGOJIS,N3,O3,3.817
1,AGOLOA,N1,O1,3.344
1,AGOLOA,N1,O2,3.873
1,AGORAS,N2,O2,3.251
1,AGORAS01,N1,O6,3.256
1,AGOREW,N2,O2,3.794
1,AGOREW,N2,O3,3.786
1,AGOREW,N1,O3,3.999
1,AGOREW,N1,O6,3.737
1,AGOREW01,N2,O12,3.746
1,AGOREW01,N4,O6,3.554
1,AGOREW01,N2,O2,3.671
1,AGOREW01,N1,O12,3.830
1,AGOREW01,N3,O6,3.953
1,AGOREW01,N1,O3,3.962
1,AGOREW02,N1,O12,3.816
1,AGOREW02,N4,O6,3.683
1,AGOREW02,N1,O3,3.997
1,AGOREW02,N2,O12,3.995
1,BIBQAH,N3,O3,3.470
1,BIBQAH,N3,O3,3.548
1,BICFAX,N2,O10,3.647
1,BINHEO,N3,O7,3.685
1,BINHEO,N6,O3,3.568
1,BIPGOZ,N2,O4,3.399
1,BIPGOZ,N2,O5,3.834
1,BIQYIM,N3,O1,2.851
1,BIRHES,N3,O3,3.052
1,BIVHOG,N4,O2,3.507
1,BIVHOG,N4,O3,3.589
1,BIVHOG,N4,O6,3.430
1,BIVHOG,N4,O7,3.990
1,BIVHOG,N5,O2,3.312
1,BIVHOG,N5,O3,3.452
1,BIVHOG,N5,O10,2.971
1,BIVHOG,N5,O12,3.863
1,BIVHOG,N7,O1,3.155
1,BIVHOG,N7,O4,3.209
1,BIVHOG,N7,O9,3.814
1,BIVHOG,N7,O11,3.765
1,BIVHOG,N8,O4,3.051
1,BIVHOG,N8,O8,3.466
1,BIVQAB,N1,O1,3.111
1,BIVQAB,N1,O2,3.820
1,BIXBUI,N3,O5,3.241
1,BIXBUI,N4,O3,3.649
1,BIXBUI,N4,O5,3.794
1,BIXBUI,N4,O6,2.952
1,BIXBUI,N4,O6,3.981
1,BIXBUI,N5,O6,3.919
1,BIXCUJ,N4,O3,3.882
1,CIMCEJ,N2,O4,3.796
1,CIMCEJ,N2,O5,3.082
1,CIRTUV,N1,O2,3.083
1,CIRTUV,N2,O5,3.023
1,CIRTUV,N2,O5,3.687
1,CIRTUV,N2,O6,3.891
1,CIRYAG,N3,O2,3.108
1,CISSAB,N1,O3,3.350
1,CITGIY,N1,O5,3.565
1,CITGIY,N1,O6,3.092
1,CITJAT,N1,O6,3.417
1,CITJAT,N2,O2,3.193
1,CIVPOP,N1,O5,3.472
1,CIVPOP,N4,O1,3.765
1,CIVPOP,N1,O6,3.552
1,CIVPOP,N4,O2,3.316
1,CIWMAZ,N1,O3,3.372
1,CIWMAZ,N1,O1,3.703
1,CIWMAZ,N1,O2,3.976
1,CIWSEJ,N3,O2,3.373
1,CIWSEJ,N3,O6,3.873
1,CIWSEJ,N6,O2,3.953
1,CIWSEJ,N6,O6,3.323
1,CIWSEJ,N3,O3,3.181
1,CIWSEJ,N6,O7,3.175
1,CIWSIN,N3,O1,3.878
1,CIWSIN,N3,O1D,3.520
1,CIWSIN,N3,O1D,3.606
1,CIWSIN,N3,O2D,3.217
1,CIWSIN,N3,O2D,3.593
1,COXGUS01,N2,O1,3.102
1,DIMNAN02,N1,O1,3.961
1,DIMNAN02,N1,O2,3.590
1,DIMNAN03,N1,O1,3.954
1,DIMNAN03,N1,O2,3.592
1,DIMNAN04,N2,O1,3.614
1,DIMNAN04,N2,O2,3.963
1,DIMNAN05,N2,O1,3.619
1,DIMNAN05,N2,O2,3.961
1,DINPIC01,N2,O2,3.827
1,DINPIC01,N3,O4,3.480
1,DINPIC01,N1,O5,3.795
1,DINPOI,N1,O6,3.555
1,DINPOI,N1,O6,3.870
1,DINPOI,N1,O7,3.662
1,DINPOI,N2,O7,3.700
1,DINPOI,N3,O3,3.910
1,DINXUW,N2,O2,3.977
1,DINXUW,N4,O7,3.593
1,DIPHUI,N4,O1,3.261
1,DIPNIC,N2,O1,3.484
1,DIPNIC,N5,O4,3.486
1,DIPNOI,N1,O2,3.593
1,FAKVUI01,N3,O3,3.969
1,FIRYEN,N1,O3,3.288
1,FIRYEN,N2,O7,3.300
1,FIRYIR,N1,O2,3.284
1,FIRYIR,N2,O6,3.289
1,FISJUP,N2,O5,3.808
1,FISJUP,N2,O6,3.382
