Query,Refcode,LAB1,LAB2,DIST1,LOS,SHIELDING,SHIELD_ATOM
1,AFAMOM,N1,O1,3.489,+,0.070,C4
1,AFENEH,N1,O4,3.288,+,0.128,O3
1,AFENEH,N4,O2,3.398,+,0.071,N1
1,AFENEH,N1,O5,3.561,-,-0.076,N4
1,AFENEH,N4,O3,3.325,+,0.101,O4
1,AFEQEK,N3,O2,3.083,+,0.293,C4
1,AFEQEK,N2,O4,2.963,+,0.333,C5
1,AFEQEK,N2,O6,2.897,+,0.266,C5
1,AFEQEK,N4,O2,3.863,-,-0.228,O4
1,AFEQEK,N4,O3,3.583,-,-0.116,O6
1,AFOVUP,N2,O1,3.605,+,0.249,C6
1,AFOVUP,N2,O2,3.952,+,0.165,O1
1,AFULIZ,N3,O6,3.284,+,0.358,O6
1,AFULIZ,N4,O5,3.538,-,-0.166,C27
1,AFULOF,N6,O2,3.846,-,-0.445,O8
1,AFULOF,N3,O12,3.487,-,-0.012,O3
1,AFULOF,N6,O3,3.314,+,0.111,O12
1,AFULOF,N4,O13,2.965,+,0.386,O4
1,AFULOF,N7,O4,2.959,+,0.386,O13
1,AFULOF,N4,O14,3.683,-,-0.138,O4
1,AFULOF,N7,O5,3.773,-,-0.222,O13
1,AFULOF,N5,O16,3.109,+,0.276,C56
1,AFULOF,N8,O7,3.110,+,0.280,O16
1,AFUTON,N4,O1,3.252,+,0.220,O2
1,AFUTON,N4,O2,3.784,-,-0.246,O1
1,AFUXUX,N10,O7,3.329,+,0.329,O10
1,AFUXUX,N15,O12,3.895,-,-0.140,O15
1,AFUXUX,N20,O2,3.632,+,0.163,O20
1,AFUXUX,N5,O18,3.808,-,-0.301,O5
1,AFUXUX,N10,O19,3.906,-,-0.225,N20
1,AFUXUX,N15,O4,3.606,-,-0.151,O14
1,AFUXUX,N20,O9,3.609,+,0.049,N10
1,AFUXUX,N5,O14,3.055,+,0.272,O5
1,AFUXUX,N10,O20,3.184,+,0.136,C41
1,AFUXUX,N15,O5,3.319,+,0.067,O14
1,AFUXUX,N20,O10,3.508,+,0.137,N10
1,AFUXUX,N5,O15,3.494,-,-0.010,N15
1,AGEDAU,N2,O7,3.964,+,0.007,C22
1,AGEDAU,N3,O7,3.536,+,0.095,O8
1,AGIDOM,N4,O2F,3.743,-,-0.089,K1
